resultType,metersDistanceFromGeoBias,poiName,phone,website,category,geoPosition,address,description,priceLabel,totalRatings,minRating,maxRating,rating,socialMedia,socialMediaUrl
POI,2976.15,Tip Top Dry Fruits Store,,,delicatessen shop,"(18.95001, 72.80129)",Tip Top Dry Fruits Store Walakeshwar Road Walkeshwar Mumbai India 400006,,,,,,,,
POI,9535.79,Raju Maurya Fruit Store,+91 93243 34020,,food drinks: green grocers shop,"(19.04576, 72.86173)",Raju Maurya Fruit Store Mahatma Gandhi Road Joglekar Nagar Mumbai India 400017,,,,,,,,
POI,6267.64,Shree Kutchi Dry Fruit Store,+91 96190 13888,,food drinks: food shops shop,"(19.02307, 72.8382)",Shree Kutchi Dry Fruit Store Gokhale Road Purandare Wadi Mumbai India 400028,,,,,,,,
POI,12236.26,Milan Dry Fruit Store,,,shop specialty foods,"(19.0622, 72.88315)",Milan Dry Fruit Store S G Barve Marg Nehru Nagar Mumbai India 400070,,,,,,,,
POI,12293.5,Shree Dry Fruits & Store,,,food drinks: food shops shop,"(19.07286, 72.86141)",Shree Dry Fruits & Store Manipada Village Road Kolivary Mumbai India 400098,,,,,,,,
POI,8566.29,Darshan General Dry Fruit Store,+91 98921 57525,,shop specialty foods,"(19.03233, 72.86765)",Darshan General Dry Fruit Store Kokari Aghar Road Kalpak Estate Mumbai India 400037,,,,,,,,
POI,12527.01,Zalani Dry Fruits Shop,,,delicatessen shop,"(19.08018, 72.84074)",Zalani Dry Fruits Shop Station Road Navinwadi Mumbai India 400054,,,,,,,,
POI,8769.79,Diamond Sweets & Dry Fruits Store,,,delicatessen shop,"(19.04783, 72.82513)",Diamond Sweets & Dry Fruits Store Rebello Road Bandra West Mumbai India 400050,,,,,,,,
POI,1480.77,Sha Dalichand Devichand Dry Fruit Store,+91 22 2346 1856,,food drinks: food shops shop,"(18.95802, 72.82907)",Sha Dalichand Devichand Dry Fruit Store Bara Imam Road Null Bazar Mumbai India 400002,,,,,,,,
POI,12849.59,Shakti Dry Fruits Store,,,delicatessen shop,"(19.08063, 72.85298)",Shakti Dry Fruits Store Pandit Jawaharlal Nehru Road Santa Cruz East Mumbai India 400055,,,,,,,,
POI,12892.73,Nilesh Dry Fruits Shop,,,delicatessen shop,"(19.07769, 72.86403)",Nilesh Dry Fruits Shop Kalina Kurla Road Arvind Nagar Mumbai India 400029,,,,,,,,
POI,13458.8,A1 Dry Fruits Shop,,,delicatessen shop,"(19.08079, 72.87039)","A1 Dry Fruits Shop St.Anthony Road, Santacruz East AI Staff Colony 2 Mumbai India 400029",,,,,,,,
POI,14802.89,Wilson Dry Fruits Shop,,,delicatessen shop,"(19.1002, 72.84535)",Wilson Dry Fruits Shop M G Road Ville Parle East Mumbai India 400057,,,,,,,,
POI,14904.66,Shanti Dry Fruits Shop,,,delicatessen shop,"(19.09993, 72.85179)",Shanti Dry Fruits Shop Anant Waman Vartak Marg Ville Parle East Mumbai India 400057,,,,,,,,
POI,15435.38,Panchali Dry Fruits Shop,,,delicatessen shop,"(19.1048, 72.85186)",Panchali Dry Fruits Shop Paranjape B Sch.Road 4 Parle East Mumbai India 400057,,,,,,,,
POI,12328.93,Golden Bakery & Dry Fruit Store,,,food drinks: bakers shop,"(19.06392, 72.88188)",Golden Bakery & Dry Fruit Store S G Barve Marg Police Colony Mumbai India 400071,,,,,,,,
POI,12611.91,Om Sai Dry Fruits Store,,,delicatessen shop,"(19.08055, 72.84317)",Om Sai Dry Fruits Store 7th Road Santa Cruz East Mumbai India 400055,,,,,,,,
POI,12626.4,Sai Samrat Dry Fruits Store,,,delicatessen shop,"(19.08057, 72.8438)",Sai Samrat Dry Fruits Store Station Road Santa Cruz East Mumbai India 400055,,,,,,,,
POI,17112.86,Laxmi Dry Fruits Store,,,food drinks: food shops shop,"(19.12062, 72.8494)",Laxmi Dry Fruits Store S Radhakrishnan Road Andheri East Mumbai India 400053,,,,,,,,
POI,17762.3,Hema Dry Fruits Store,,,food drinks: food shops shop,"(19.12873, 72.82581)",Hema Dry Fruits Store Saint Louis Convent Road Guru Nagar Mumbai India 400058,,,,,,,,
POI,18108.83,Fraazo The Fruit Shop,,,food drinks: food shops shop,"(19.11412, 72.89947)",Fraazo The Fruit Shop IRB Road Powai Mumbai India 400072,,,,,,,,
POI,8492.84,Jwell Bakery And Dry Fruits Store,+91 22 2447 4819,,food drinks: food shops shop,"(19.04311, 72.84093)",Jwell Bakery And Dry Fruits Store Mori Road Babasaheb Ambedkar Nagar Mumbai India 400016,,,,,,,,
POI,15504.32,Ladhubhai Shobhan Dry Fruits Store,,,delicatessen shop,"(19.08411, 72.90449)",Ladhubhai Shobhan Dry Fruits Store Harischand Desai Road Vidya Vihar West Mumbai India 400070,,,,,,,,
POI,16199.26,New Apurva Dry Fruits Stores,,,fast food restaurant,"(19.11339, 72.84206)",New Apurva Dry Fruits Stores SV Road Andheri West Mumbai India 400058,,,,,,,,
POI,18938.77,Milan Dry Fruit Store,,,food drinks: food shops shop,"(19.1342, 72.86524)",Milan Dry Fruit Store Shivneri Vasahat Road Poonam Nagar Mumbai India 400093,,,,,,,,
POI,13467.5,Shree Bhavani Vegetable & Fruit Store,+91 98698 42703,,food drinks: food markets shop,"(19.06811, 72.89489)",Shree Bhavani Vegetable & Fruit Store Road Number 8 Kurla East Mumbai India 400089,,,,,,,,
POI,19305.3,Shyam Dry Fruits Store,,,food drinks: food shops shop,"(19.11098, 72.92696)",Shyam Dry Fruits Store P Godrej Marg Vikhroli West Mumbai India 400083,,,,,,,,
POI,17730.34,Mahalaxmi Dry Fruits Store,,,food drinks: food shops shop,"(19.1256, 72.85322)",Mahalaxmi Dry Fruits Store Old Nagardas Road Jijamata Colony Mumbai India 400053,,,,,,,,
POI,15187.43,Shree Laxmi Narayan Dry Fruits Shop,,,delicatessen shop,"(19.10305, 72.84915)",Shree Laxmi Narayan Dry Fruits Shop Hanuman Road 1 Ville Parle East Mumbai India 400057,,,,,,,,
POI,19636.34,Shri Vijoy Dry Fruits Store,,,food drinks: food shops shop,"(19.11323, 72.92905)",Shri Vijoy Dry Fruits Store Station Road Vikhroli Vikhroli East Mumbai India 400083,,,,,,,,
POI,17078.92,Laxmi Bakery And Dry Fruits Store,,,food drinks: food shops shop,"(19.12033, 72.84928)",Laxmi Bakery And Dry Fruits Store Sir Mathuradas Vasanji Marg Andheri East Mumbai India 400053,,,,,,,,
POI,14904.66,Pramanik Store Gift and Dry Fruit Shop,,,delicatessen shop,"(19.09993, 72.85179)",Pramanik Store Gift and Dry Fruit Shop Anant Waman Vartak Marg Ville Parle East Mumbai India 400057,,,,,,,,
POI,14985.9,Mahalaxmi Dairy and Dry Fruits Store,,,shop specialty foods,"(19.05317, 72.93255)",Mahalaxmi Dairy and Dry Fruits Store Sant Rohidas Road Mohite Patil Nagar Mumbai India 400043,,,,,,,,
POI,1742.27,Yasin Fruits,+91 97688 94200,,food drinks: food markets shop,"(18.97238, 72.83737)",Yasin Fruits Seth Motishah Road Mustafa Bazar Mumbai India 400027,,,,,,,,
POI,2407.33,Maharashtra Dry Fruit,+91 22 2342 2733,,food drinks: food shops shop,"(18.95325, 72.83683)",Maharashtra Dry Fruit Yusuf Meherali Marg Vadgadi Masjid Bandar Mumbai India 400003,,,,,,,,
POI,3929.45,Maharashtra Dry Fruits,,,delicatessen shop,"(18.93641, 72.8355)",Maharashtra Dry Fruits Bora Bazar Street Bora Bazar Hutatma Chowk Mumbai India 400001,,,,,,,,
POI,4494.97,Bombay Dry Fruits,,,delicatessen shop,"(18.99882, 72.8501)",Bombay Dry Fruits Acharya Dhonde Marg Parel Mumbai India 400015,,,,,,,,
POI,5995.17,Fruit Mart,,www.mumbaifruitmart.com,food drinks: green grocers shop,"(19.01978, 72.84049)",Fruit Mart N C Kelkar Marg Javle Wadi Mumbai India 400028,,,,,,,,
POI,159.9,Mayur Dry Fruits,,,delicatessen shop,"(18.96781, 72.82041)",Mayur Dry Fruits Doctor Dadasaheb Bhadkamkar Marg Nagpada Mumbai India 400008,,,,,,,,
POI,385.11,Chhaya Dry Fruit,+91 96192 77133,,food drinks: food shops shop,"(18.9707, 72.81796)",Chhaya Dry Fruit Sane Guruji Marg Ratan Tata Colony Mumbai India 400034,,,,,,,,
POI,611.22,Vijay Fruit Center,+91 99304 43731,,food drinks: green grocers shop,"(18.96869, 72.81538)",Vijay Fruit Center Jivaji Danji Road Talmakiwadi Mumbai India 400034,,,,,,,,
POI,839.32,Amantran Dry Fruits,,,delicatessen shop,"(18.96155, 72.82028)",Amantran Dry Fruits M. Shaukat Ali Road Khetwadi Mumbai India 400004,,,,,,,,
POI,870.39,Rajal Dry Fruits,,,shop specialty foods,"(18.96654, 72.81334)","Rajal Dry Fruits Javji Dadaji Marg, Near Kumud Mansion Jain Temple, Tardeo Tar Deo Mumbai India 400034",,,,,,,,
POI,980.38,Trilok Dry Fruits,,,delicatessen shop,"(18.97583, 72.82714)",Trilok Dry Fruits R B Chandorkar Road Bombay Central Mumbai India 400011,,,,,,,,
POI,1313.93,Bansilal Dry Fruits,,,food drinks: food shops shop,"(18.95727, 72.8202)",Bansilal Dry Fruits Nawalkar Lane Khetwadi Mumbai India 400004,,,,,,,,
POI,1319.61,Roman Dry Fruits,+91 22 2385 1192,,food drinks: food shops shop,"(18.95744, 72.81858)",Roman Dry Fruits S V Patel Marg Bhatwadi Mumbai India 400004,,,,,,,,
POI,1351.31,Chedda Dry Fruits,,,delicatessen shop,"(18.96915, 72.80833)",Chedda Dry Fruits Vivek Singh Lane Cumballa Hill Mumbai India 400026,,,,,,,,
POI,1361.85,Maruti Dry Fruits,,,delicatessen shop,"(18.95794, 72.81573)",Maruti Dry Fruits Paper Mill Gully Badamwadi Mumbai India 400004,,,,,,,,
POI,1426.25,Rudraksh Dry Fruits,+91 99870 68153,,food drinks: food shops shop,"(18.95746, 72.82699)",Rudraksh Dry Fruits Patthe Bapurao Marg Cawasji Patel Tank Mumbai India 400004,,,,,,,,
POI,1524.7,Mangalam Dry Fruits,,,delicatessen shop,"(18.9814, 72.82748)",Mangalam Dry Fruits Sane Guruji Marg Kasturba Prakhand Mumbai India 400013,,,,,,,,
POI,1552.97,Dry Fruits Corner,+91 22 2361 0563,,food drinks: food shops shop,"(18.95516, 72.82272)",Dry Fruits Corner Khadilkar Road Khandiwadi Mumbai India 400004,,,,,,,,
POI,1612.83,Arome Dry Fruits,+91 98201 13868,www.arome.in,food drinks: food shops shop,"(18.97609, 72.80777)",Arome Dry Fruits Bhulabhai Desai Marg Malvi Nagar Mumbai India 400026,,,,,,,,
POI,1640.19,Palantekar Dry Fruits,+91 84220 52780,,food drinks: food shops shop,"(18.95431, 72.82177)",Palantekar Dry Fruits Khadilkar Road Mangal Wadi Mumbai India 400004,,,,,,,,
POI,1642.42,Swastik Dry Fruit,+91 97692 82983,,food drinks: food shops shop,"(18.95428, 72.82104)",Swastik Dry Fruit Khadilkar Road Ambewadi Chowpatty Mumbai India 400004,,,,,,,,
POI,1650.03,Mahalakshmi Fruits,+91 93245 24664,,food drinks: green grocers shop,"(18.97719, 72.80806)",Mahalakshmi Fruits Mahalaxmi Mandir Road Malvi Nagar Mumbai India 400026,,,,,,,,
POI,1766.57,A1 Dry Fruits,+91 98205 76294,,food drinks: food shops shop,"(18.95318, 72.82196)",A1 Dry Fruits Tatya Gharpure Path Mangal Wadi Mumbai India 400004,,,,,,,,
POI,1772.45,Laxmi Dry Fruit,,,food drinks: food shops shop,"(18.95311, 72.8212)",Laxmi Dry Fruit Jagannath Shankarsheth Marg Girgaon Mumbai India 400004,,,,,,,,
POI,1838.48,Darshan Dry Fruits,,,delicatessen shop,"(18.95283, 72.82457)",Darshan Dry Fruits Dr. Jaykar Marg Mangal Wadi Mumbai India 400004,,,,,,,,
POI,1853.2,Jawahar Dry Fruits,,,delicatessen shop,"(18.95281, 72.82514)",Jawahar Dry Fruits Dr. Jaykar Marg Nawi Wadi Mumbai India 400002,,,,,,,,
POI,1914.12,Hiren Dry Fruits,+91 92204 10531,,food drinks: food shops shop,"(18.95193, 72.82308)",Hiren Dry Fruits Dr. Jaykar Marg Nawi Wadi Mumbai India 400004,,,,,,,,
POI,1926.72,Swastik Dry Fruits,+91 22 2201 2606,,delicatessen shop,"(18.95182, 72.82312)",Swastik Dry Fruits Dr. Jaykar Marg Nawi Wadi Mumbai India 400002,,,,,,,,
POI,1981.83,Dipali Dry Fruits,,,delicatessen shop,"(18.9518, 72.82592)",Dipali Dry Fruits Sitaram Podar Marg Fanas Wadi Mumbai India 400002,,,,,,,,
POI,1999.43,Apsara Dry Fruits,,,delicatessen shop,"(18.9528, 72.82932)",Apsara Dry Fruits Bhuleshwar Road Fanas Wadi Mumbai India 400002,,,,,,,,
POI,2352.78,Italian Dry Fruits,,,delicatessen shop,"(18.95427, 72.83719)",Italian Dry Fruits Kazi Sayed Street Bhat Bazar Mumbai India 400009,,,,,,,,
POI,2352.98,Lilaram Dry Fruits,,,delicatessen shop,"(18.95378, 72.83667)",Lilaram Dry Fruits Samuel Street Bhat Bazar Mumbai India 400003,,,,,,,,
POI,2371.5,Ashish Dry Fruits,,,delicatessen shop,"(18.95347, 72.83658)",Ashish Dry Fruits Samuel Street Bhat Bazar Mumbai India 400003,,,,,,,,
